Video,QID,Language Query,Type,IDs,Start,End,Revision
8d0d641a,,A duck turns away from the camera and eats from the food bowl,M,1,20,42,
8d0d641a,,A duck eats from the food bowl with its face down,M,1,131,139,
8d0d641a,,A duck eats from the food bowl with its face down,M,9,55,78,
8d0d641a,,A duck stops walking,M,10,34,42,
8d0d641a,,A duck takes a step back and stands still,M,10,45,75,
8d0d641a,,A duck walks away from the camera,M,10,79,99,
8d0d641a,,A duck turns towards the camera,M,10,110,116,
8d0d641a,,A duck disappears from the frame from the left side of the camera,M,10,117,121,
8d0d641a,,A duck turns around and walks towards the camera,M,2,46,57,
8d0d641a,,A duck walks away from the camera,M,2,113,130,
8d0d641a,,A duck looks down at the water at roadside,M,4,156,160,
8d0d641a,,A duck looks down at the water at roadside,M,11,133,142,
8d0d641a,,A duck eats from the food bowl with its face down,M,4,7,28,
8d0d641a,,A duck eats from the food bowl with its face down,M,11,53,74,
8d0d641a,,A duck moves away from the food bowl to the left,M,4,105,122,
8d016cdb,,A panda stops walking to the left,M,2,17,23,
8d016cdb,,A panda turns away and goes away from the camera,M,2,25,64,
8d016cdb,,A panda turns around and walks to the left,M,1,35,49,
8d016cdb,,A panda looks towards the camera,M,1,50,55,
8d016cdb,,A panda turns around and walks to the opposite direction to the right,M,1,56,63,
8d73085e,,A cat jumps to catch the toy,M,1,20,23,
8d73085e,,A cat stops walking and looks up,M,2,17,20,
8d73085e,,A cat jumps to catch the toy,M,2,28,31,
8ef55579,,A zebra starts walking to the right,M,1,9,42,
8ef55579,,A zebra ducks down,M,7,39,42,
8ef55579,,A zebra looks up from the field,M,3,25,42,
8f415dd1,,The monitor lizard runs up a slightly steep surface,M,2,1,12,
8f415dd1,,The monitor lizard straightens its body,M,1,1,10,
8f415dd1,,The monitor lizard stops moving,M,2,15,18,
8f969ea5,,The horse stands up from a sitting position,M,1,1,11,
8f969ea5,,The horse turns around and goes behind another horse,M,1,17,28,
8f969ea5,,The horse gets down on the ground,M,1,29,41,
8f969ea5,,The horse stands up from a sitting position,M,1,42,57,
8f969ea5,,The horse turns around and gets on the ground,M,1,61,78,
8f969ea5,,The horse stands up and starts running,M,1,84,90,
8f969ea5,,The horse comes in front of another horse,M,2,13,27,
8f969ea5,,The horse falls over another horse,M,2,29,34,
8f969ea5,,The horse drags another horse down,M,2,44,52,
8f969ea5,,The horse stands up and faces right,M,2,85,90,
8fa50320,,The elephants pause for a while as they walk,M,1,66,88,
8fa50320,,The elephants pause for a while as they walk,M,3,64,88,
8fa50320,,The elephants walk away from the camera,M,1,53,100,
8fa50320,,The elephants walk away from the camera,M,2,53,100,
8fa50320,,The elephants walk away from the camera,M,3,53,100,
8fa50320,,The elephants walk away from the camera,M,4,74,100,
8fa50320,,The elephants turns away and walks to its right,M,5,72,87,
9a4ce701,,The lizard stops moving,M,2,25,36,
9a4ce701,,The lizard raises one of its paws,M,2,27,32,
9a4ce701,,The lizard starts moving in circles,M,2,39,67,
9a4ce701,,The lizard pauses moving,M,2,68,72,
9a4ce701,,The lizard stops moving,M,1,25,36,
9b5f0f47,,The fish swims to the left,M,1,5,13,
9b5f0f47,,The fish swims to the right,M,1,35,46,
9b5f0f47,,The fish swims downwards,M,2,4,8,
9b5f0f47,,The fish swims to the right,M,2,10,25,
9b5f0f47,,The fish swims upwards,M,2,42,50,
9b5f0f47,,The fish remains in a constant position,M,3,9,21,
9b5f0f47,,The fish swims to the right,M,4,26,52,
9bdabdb2,,The rabbit jumps over a small box,M,2,8,11,
9bdabdb2,,The rabbit stands for a while,M,2,17,33,
9bdabdb2,,The rabbit walks to the right,M,2,36,48,
9bdabdb2,,The rabbit jumps over a small box,M,2,55,58,
9bdabdb2,,The rabbit jumps over a small box,M,1,67,71,
9bdabdb2,,The rabbit turns right,M,1,10,15,
9bdabdb2,,The rabbit looks towards the direction of the camera,M,1,22,27,
9bdabdb2,,The rabbit hops to the right,M,1,47,51,
9d394f1a,,The bull gets pushed towards the camera from a still position,M,1,30,38,
9d394f1a,,The bull moves sideways to the left,M,1,49,58,
9d394f1a,,The bull moves sideways to the left,M,2,49,58,
9d394f1a,,The bull stands still,M,1,59,68,
9d394f1a,,The bull stands still,M,2,59,68,
9d394f1a,,The bull moves sideways to the right,M,1,97,114,
9d394f1a,,The bull moves sideways to the right,M,2,97,114,
9d394f1a,,The bull pushes another bull to the right with its head,M,2,75,85,
9d5940d2,,The turtle moves it head down,M,2,11,17,
9e85179b,,The boat drives past two other boats,M,4,65,91,
9e85179b,,A person in the boat drives past two other boats,M,9,65,91,
9e85179b,,A person looks back towards the camera,M,6,70,74,
9e85179b,,A boat moves its front to the right as it slows down behind another boat,M,13,189,198,
9e85179b,,The person in the boat stands up,M,14,195,200,
9e192417,,The bear walks to the right,M,1,19,25,
9e192417,,The bear stands still,M,1,25,36,
9e192417,,The bear turns around and walks to the left,M,1,49,62,
9e192417,,The bear plays with the balloon,M,2,26,62,
9e192417,,The bear walks towards the balloon,M,3,38,54,
9f2323ac,,The sea turtle flaps its wings,M,2,1,25,
9fc933f6,,The zebra moves its head up from the ground,M,1,18,23,
9fc933f6,,The zebra comes to the front from behind another zebra,M,2,1,19,
9fc933f6,,The zebra walks slightly to the left and stands still,M,2,36,57,
9fc933f6,,The zebra turns its body to face left,M,3,16,25,
9fc933f6,,The zebra looks down,M,3,65,70,
9ffb2818,,The bird walks away from the camera,M,1,16,39,
9ffb2818,,The bird eats from the floor,M,1,1,15,
9ffb2818,,The bird walks slowly towards the camera,M,2,14,24,
9ffb2818,,The bird flies on top of a bucket,M,5,59,63,
9ffb2818,,The bird stops walking,M,3,59,101,
9ffb2818,,The bird turns around and walks to the right,M,3,106,126,
9ffb2818,,The bird turns around and walks to the right,M,1,85,98,
9ffb2818,,The bird stops walking and eats from the floor,M,1,98,102,
80afed16,,The bear jumps up and engages in a fight,M,1,23,32,
80afed16,,The bear jumps up and engages in a fight,M,2,23,29,
80b73f1a,,The rabbit jumps over another rabbit,M,2,20,24,
80b73f1a,,The rabbit starts eating,M,1,17,24,
80ce18a4,,The bear pushes down another bear,M,2,1,6,
80ce18a4,,The bear spins around as it fights another bear,M,1,9,26,
80ce18a4,,The bear spins around as it fights another bear,M,2,9,26,
80d978e9,,The truck drives towards the camera,M,1,1,54,
80d978e9,,The truck drives towards the camera,M,2,1,54,
80d978e9,,The truck disappears from the frame to the right,M,2,35,54,
81fdc526,,The turtle makes a swift turn and swims to the left,M,1,14,23,
81fdc526,,The turtle turns towards the right,M,3,17,23,
81fdc526,,The turtle turns around and swims away from the camera,M,4,16,24,
81fdc526,,The turtle starts swimming,M,6,9,24,
82a3db34,,The plane gains a slight elevation,M,4,3,14,
82a3db34,,The plane gains a slight elevation,M,1,19,42,
82a3db34,,The plane descends down slightly,M,1,49,60,
82a3db34,,The plane gains gains slight elevation to the left,M,2,121,142,
82a3db34,,The plane gains gains slight elevation to the left,M,4,129,146,
82f24ce7,,The cow starts walking,M,1,29,48,
82f24ce7,,The cow disappears from the frames to the right side of the camera,M,2,19,48,
83b7c53c,,The monkey comes out a hole,M,2,1,7,
83b7c53c,,The monkey goes to the left,M,2,6,15,
83b7c53c,,The monkey enters half of its body inside the hole,M,2,15,22,
83b7c53c,,The monkey turns around and comes out of the hole,M,2,23,27,
83b7c53c,,The monkey goes to the right,M,2,28,38,
83b7c53c,,The monkey enters into the hole,M,2,38,41,
83b7c53c,,The monkey jumps off from its seat,M,1,38,41,
83b7c53c,,The monkey looks to the left,M,1,22,35,
83b7c53c,,The monkey looks back,M,3,21,24,
85aa3b0e,,The fish starts to swim,M,1,50,156,
85aa3b0e,,The fish nears the border and swims away,M,1,158,186,
85aa3b0e,,The fish stays still,M,1,331,342,
85aa3b0e,,The fish makes a swift turn and faces right diagonally,M,2,15,22,
85aa3b0e,,The fish swims swiftly to the edge of the container,M,6,25,37,
85aa3b0e,,The fish turns around and swims to the back of the container,M,6,99,125,
85aa3b0e,,The fish faces up towards the camera,M,4,47,58,
85aa3b0e,,The fish rotates downwards and swims away,M,4,63,72,
85aa3b0e,,The fish swims to the right,M,3,36,60,
85aa3b0e,,The fish swims to the left,M,3,74,94,
85aa3b0e,,The fish stays still,M,3,182,214,
85aa3b0e,,The fish collides with another fish,M,7,257,263,
85aa3b0e,,The fish starts to swim,M,10,112,164,
85aa3b0e,,The fish collides with the edge of the container,M,8,217,219,
85aa3b0e,,The fish collides with the edge of the container,M,1,307,309,
85aa3b0e,,The fish collides with the edge of the container,M,6,313,315,
85d694d7,,The bicycle is leaned against a bench,M,1,4,12,
85d694d7,,The bicycle is falls on the ground,M,3,40,47,
85d694d7,,The bicycle is stopped and parked against the bench,M,2,25,43,
85d694d7,,The child walks away from her bicycle,M,4,18,44,
85d694d7,,The child stops riding the bicycle,M,6,24,38,
85d694d7,,The child stops riding the bicycle,M,5,23,39,
85d694d7,,The child turns towards the camera with the bicycle,M,5,30,36,
85d694d7,,A person looks to the left,M,7,36,42,
86a2b59f,,A person takes a step forward,M,1,6,13,
86a2b59f,,A person disappears from the frame to the left side of the camera,M,5,18,20,
86a2b59f,,A bike disappears from the frame to the left side of the camera,M,17,17,21,
86a2b59f,,A person waves her hand,M,3,23,25,
86a2b59f,,A person waves her hand,M,4,20,24,
86a2b59f,,A person picks up a cloth which was touching the ground,M,3,1,21,
86a2b59f,,A person turns around and walks towards another person,M,4,24,34,
86a2b59f,,A woman looks behind her as she walks,M,7,13,18,
86a2b59f,,A woman puts a bag on the child,M,7,30,34,
86a949e2,,The zebra turns to the right,M,1,5,13,
86a949e2,,The zebra takes a leap towards another zebra,M,1,19,22,
86a949e2,,The zebra starts running,M,1,39,54,
86a949e2,,The zebra starts running,M,2,41,54,
86a949e2,,The zebra brings its head down and up again,M,2,8,12,
86a949e2,,The zebra fights with another zebra,M,1,17,34,
86a949e2,,The zebra fights with another zebra,M,2,17,34,
86a88668,,A car disappears from the frame to the left side of the camera,M,1,1,20,
86a88668,,A car disappears from the frame to the left side of the camera,M,2,1,36,
86a88668,,A car disappears from the frame to the left side of the camera,M,3,7,20,
86a88668,,A car disappears from the frame to the left side of the camera,M,4,41,50,
86a88668,,A car disappears from the frame to the left side of the camera,M,6,120,200,
86a88668,,A car travels under overbridge,M,6,105,116,
86a88668,,A car travels under overbridge,M,2,259,271,
86a88668,,A car travels under overbridge,M,7,256,270,
88ab50cd,,The monitor lizard falls onto the ground,M,1,5,11,
88ab50cd,,The monitor lizard gets on another monitor lizard,M,1,12,18,
88ab50cd,,The monitor lizard twists it body and throws another monitor lizard on the ground,M,1,22,27,
88ab50cd,,The monitor lizard stands upright,M,1,40,47,
88ab50cd,,The monitor lizard stands upright,M,2,41,44,
88ab50cd,,The monitor lizards pushes another monitor lizard away from its body,M,2,59,65,
88ab50cd,,The monitor lizard comes to a standstill,M,1,67,77,
88ab50cd,,The monitor lizard comes to a standstill,M,2,67,77,
88ab50cd,,The monitor pushes another lizard on top of it sends it underneath,M,1,79,86,
88cd32f3,,The fish turns to the right,M,2,6,13,
88cd32f3,,The fish faces the camera,M,2,13,18,
88cd32f3,,The fish goes slightly downwards diagonally to the right,M,3,26,29,
88cd32f3,,The fish moves upwards,M,3,30,36,
88cd32f3,,The fish moves downwards,M,2,37,42,
88cd32f3,,The fish moves upwards,M,2,46,55,
88cd32f3,,The fish moves down and then goes up,M,3,73,85,
89b671bb,,The car disappears to the right side of the camera,M,2,14,18,
89b671bb,,The car disappears to the right side of the camera,M,4,25,30,
89b671bb,,The car disappears to the right side of the camera,M,7,51,54,
89b671bb,,The truck disappears to the right side of the camera,M,6,30,38,
89b671bb,,The bus appears from the left side of the camera,M,12,106,110,
89b671bb,,The motorcycle disappears to the right side of the camera,M,8,66,68,
89dc0432,,The turtle flaps its fins on another turtle,M,4,9,18,
89dc0432,,The turtle gets on top of another turtle,M,4,20,24,
89dc0432,,The turtle gets under another turtle,M,3,20,24,
89dc0432,,The turtle moves away with a white object in its mouth,M,2,9,16,
89fe6899,,A horse appears in from the right side of the camera,M,1,6,31,
89fe6899,,A horse appears in from the right side of the camera,M,9,16,44,
89fe6899,,A horse overtakes other horses,M,1,6,31,
89fe6899,,A horse overtakes other horses,M,9,16,44,
89fe6899,,A horse blocks the view of other horses,M,1,6,31,
89fe6899,,A horse blocks the view of other horses,M,9,16,44,
91b2f707,,The bike inclines to the left side,M,1,4,10,
91b2f707,,The person inclines to the left side,M,4,4,10,
91b2f707,,The bike inclines to the left side,M,2,4,10,
91b2f707,,The person inclines to the left side,M,5,4,10,
91b2f707,,The bike takes a left turn,M,1,11,17,
91b2f707,,The person takes a left turn,M,4,11,17,
91b2f707,,The bike takes a left turn,M,2,11,17,
91b2f707,,The person takes a left turn,M,5,11,17,
91b754c5,,The rabbit moves its mouth away from the food,M,1,9,20,
91b754c5,,The rabbit looks down and eats food,M,2,7,21,
91b754c5,,The rabbit looks up from the food,M,2,22,25,
91b754c5,,The rabbit walks to the left side,M,3,20,28,
93c6411d,,The rabbit moves in circles,M,1,1,11,
93c6411d,,The rabbit moves in circles,M,2,1,11,
93c6411d,,The rabbit gets on top of the green open structure,M,1,17,23,
93c6411d,,The rabbit gets on top of the green open structure,M,2,19,25,
93c6411d,,The rabbit gets on top of the green open structure,M,1,35,44,
93c6411d,,The rabbit bites on another rabbit,M,1,41,45,
93e22d48,,The rabbit moves behind the leaves and eats them,M,1,4,18,
93e22d48,,The rabbit looks up from the leaves,M,1,53,72,
93e22d48,,The rabbit hops towards the leaves,M,2,16,21,
93e22d48,,The rabbit runs towards the food to the right,M,3,12,15,
93e22d48,,The rabbit runs towards the food to the right,M,4,13,19,
93e22d48,,The rabbit runs towards the food to the right,M,7,13,17,
93e22d48,,The rabbit runs towards the food,M,8,9,21,
93e22d48,,The rabbit runs towards the food to the right,M,9,15,19,
93e22d48,,The rabbit runs away from the leaves,M,7,32,47,
93e22d48,,The rabbit runs towards the wall,M,7,58,66,
93e22d48,,The rabbit stands still,M,7,47,57,
93e22d48,,The rabbit stands still,M,10,115,127,
93e22d48,,The rabbit stands still,M,11,121,132,
93e22d48,,The rabbit runs forward,M,11,113,121,
93e22d48,,The rabbit eats the leaves,M,4,21,34,
93e22d48,,The rabbit eats the leaves,M,9,21,41,
93e22d48,,The rabbit eats the leaves,M,7,21,32,
94f4c2aa,,The panda turns over and falls down,M,1,2,7,
94f4c2aa,,The panda falls inside the grass,M,4,29,37,
94f4c2aa,,The panda rolls down the slope,M,1,43,73,
94f4c2aa,,The panda gets over another panda,M,2,8,14,
94f4c2aa,,The panda rolls down the slope,M,3,43,73,
94f4c2aa,,The panda rolls down the slope,M,4,43,73,
94f4c2aa,,The panda gets over another panda,M,3,11,20,
94f7c53e,,The sea-turtle appears from underneath another turtle,M,2,26,42,
94f7c53e,,The diver disappears from the left side of the frame,M,1,7,13,
94f7c53e,,The fish disappears from the right side of the frame,M,6,41,44,
95e24093,,The horse disappears from the left side of the frame,M,1,23,40,
95e24093,,The horse stands still,M,1,13,21,
95e24093,,The horse turns around and attacks another horse beside,M,2,7,17,
95e24093,,The horse kicks another horse with its back legs,M,2,22,25,
95e24093,,The horse disappears from the left side of the frame,M,1,18,21,
95e24093,,The horse walks backwards,M,3,34,41,
95e24093,,The horse inspects the small horse on the ground,M,5,36,42,
97f58761,,The bird straightens its head,M,1,7,16,
97f58761,,The bird looks to the right,M,1,27,33,
97f58761,,The bird pecks at the hand,M,1,47,49,
97f58761,,The bird looks behind at another bird,M,1,54,57,
97f58761,,The bird looks down,M,1,47,49,
843d3bf7,,The bird turns around and looks back,M,5,23,30,
843d3bf7,,The bird disappears behind the person's leg,M,1,7,12,
843d3bf7,,The bird walks a few step,M,6,10,16,
843d8f25,,The zebra stops walking,M,1,13,32,
843d8f25,,The zebra turns towards the camera,M,1,7,14,
843d8f25,,The zebra disappears from the left side of the frame,M,5,19,23,
843d8f25,,The zebra looks at the tiger attacking another zebra as it walks past,M,6,22,27,
843d8f25,,The zebra disappears from the left side of the frame,M,6,28,32,
843d8f25,,The zebra disappears from the left side of the frame,M,7,28,35,
843d8f25,,The zebra stops walking,M,9,33,48,
843d8f25,,The zebra stops walking,M,10,32,54,
843d8f25,,The zebra looks at the injured zebra with the tiger,M,9,32,48,
843d8f25,,The zebra turns to the right and runs away,M,9,48,55,
843d8f25,,The zebra walks away to the right,M,1,34,50,
857e375e,,The person switches the rowing oar from left to the right side,M,2,12,31,
857e375e,,The person stops rowing the boat,M,2,12,26,
857e375e,,The person raises the rowing oar above the water surface,M,2,14,23,
857e375e,,The person looks away from the camera,M,6,34,40,
857e375e,,The person appears on the boat from the right side of the camera,M,6,19,24,
886ed981,,The sheep headbutts another sheep,M,2,1,3,
886ed981,,The sheep rolls over on the ground,M,1,3,7,
886ed981,,The sheep runs at another sheep,M,1,8,11,
886ed981,,The sheep runs at another sheep,M,2,7,11,
886ed981,,The sheep walks backwards,M,1,12,16,
890ef032,,The sheep turns around and looks back,M,1,26,32,
890ef032,,The sheep turns around and looks back,M,1,61,67,
890ef032,,The sheep starts walking,M,1,84,94,
890ef032,,The sheep steps away from the white piece of board,M,2,6,14,
890ef032,,The sheep looks up and looks towards the camera,M,2,36,83,
890ef032,,The sheep looks towards the camera,M,2,96,108,
890ef032,,The sheep turns around and walks away from the camera,M,3,9,33,
890ef032,,The sheep turns towards the camera and looks at the camera,M,3,38,104,
890ef032,,The sheep starts walking,M,4,48,102,
890ef032,,The sheep starts walking,M,5,48,108,
890ef032,,The sheep starts walking,M,6,48,108,
905d8740,,The person disappears from the right side of the frame,M,4,40,57,
905d8740,,The giraffe turns its body and starts walking,M,5,4,84,
905d8740,,The giraffe raises its head,M,6,8,27,
905d8740,,The giraffe walks backwards,M,6,26,55,
910bf878,,The fish swims below another fish,M,1,3,22,
910bf878,,The fish stops swimming,M,1,24,36,
924f5d88,,The zebra stops walking,M,8,33,45,
924f5d88,,The zebra disappears to the left side of the frame,M,1,6,14,
924f5d88,,The zebra turns its head down and then slightly to its right,M,8,36,47,
924f5d88,,The zebra starts walking,M,5,35,47,
980baf58,,The fish swims backwards,M,2,2,18,
980baf58,,The fish turns around to the left,M,2,19,29,
980baf58,,The fish swims to the left,M,2,30,53,
980baf58,,The fish disappears behind another fish,M,1,29,41,
980baf58,,The fish widens its fins,M,3,33,41,
983a551b,,The plane overtakes another plane,M,1,1,35,
983a551b,,The plane flies in front of another plane,M,1,1,35,
994ed763,,The duck turns to the left,M,2,9,29,
994ed763,,The duck starts walking,M,2,29,30,
994ed763,,The duck starts walking,M,3,16,36,
994ed763,,The duck pauses walking,M,3,37,42,
994ed763,,The duck turns to the right,M,5,25,38,
994ed763,,The duck brings its head down,M,6,9,24,
994ed763,,The duck puts its head into a bowl,M,6,48,52,
8466eeb2,,The horse changes its direction to the left,M,7,12,16,
8466eeb2,,The horse changes its direction to the left,M,9,26,32,
8466eeb2,,The horse changes its direction to the left,M,12,41,47,
8466eeb2,,The horse clashes with another another horse as it runs,M,11,33,38,
8466eeb2,,The horse clashes with another another horse as it runs,M,16,33,38,
8466eeb2,,The horse runs towards the camera,M,20,41,56,
8466eeb2,,The horse runs towards the camera,M,40,99,114,
8745edd0,,The chicken turns to the left,M,1,17,23,
8745edd0,,The chicken starts walking,M,2,13,36,
8745edd0,,The chicken pecks at another chicken,M,2,21,23,
8745edd0,,The chicken stops pecking at the ground and looks up,M,3,17,29,
8745edd0,,The chicken turns around and chases other chickens,M,3,30,35,
8745edd0,,The chicken swiftly runs away,M,4,34,40,
8745edd0,,The chicken eats from the ground,M,5,8,20,
8925e11b,,The fish swims in front of another fish,M,2,6,17,
8925e11b,,The fish turns around to the left,M,2,20,27,
8925e11b,,The fish swims to the left,M,2,29,48,
8925e11b,,The fish comes in front of another fish,M,1,33,43,
8925e11b,,The fish swims behind another fish,M,2,33,43,
9033b607,,The monkey starts walking down,M,2,11,20,
9033b607,,The monkey looks slightly to the right,M,1,18,24,
9033b607,,The monkey starts to move from its sitting position,M,1,44,47,
9033b607,,The monkey runs fast and disappears behind the rocks,M,3,2,6,
9033b607,,The monkey runs fast and disappears behind the rocks,M,6,33,38,
9061dac9,,The sailboat passes past another sailboat,M,6,3,7,
9061dac9,,The person on the sailboat passes past another sailboat,M,3,3,7,
9061dac9,,The sailboat stops,M,6,21,38,
9061dac9,,The person on the sailboat stops,M,3,21,38,
9061dac9,,The sailboat passes past another sailboat,M,8,30,33,
9061dac9,,The person on the sailboat passes past another sailboat,M,7,30,33,
9061dac9,,The sailboat passes past another sailboat,M,9,32,35,
9061dac9,,The person on the sailboat passes past another sailboat,M,12,32,35,
9061dac9,,The sailboat passes past another sailboat,M,8,49,52,
9061dac9,,The person on the sailboat passes past another sailboat,M,7,49,52,
9061dac9,,The sailboat passes past another sailboat,M,9,50,53,
9061dac9,,The person on the sailboat passes past another sailboat,M,12,50,53,
9061dac9,,A speedboat disappears to the right side of the frame,M,15,40,42,
9061dac9,,A person on speedboat disappears to the right side of the frame,M,14,40,42,
9698f06e,,The giraffe starts walking,M,3,4,83,
9698f06e,,The giraffe stops walking,M,1,43,83,
9698f06e,,The giraffe looks down at its legs,M,2,62,83,
9698f06e,,A giraffe appears from the right side of the frame,M,7,26,80,
81659eb2,,The plane takes off,M,2,1,10,
81659eb2,,The plane takes off,M,3,1,10,
81659eb2,,The plane takes off,M,4,1,10,
81659eb2,,The plane takes off,M,6,1,10,
81659eb2,,The plane flies below the other planes,M,6,15,24,
81659eb2,,The planes retract their tyres,M,2,23,32,
81659eb2,,The planes retract their tyres,M,3,24,33,
81659eb2,,The planes retract their tyres,M,4,24,33,
81659eb2,,The planes retract their tyres,M,6,27,34,
82667d52,,A person stretches out his hand,M,1,12,17,
82667d52,,A sailboat appears from the right side of the frame,M,15,17,29,
82667d52,,A person appears from the right side of the frame,M,18,29,31,
82667d52,,A person appears from the right side of the frame,M,19,31,37,
82667d52,,A sailboat sails in front of other sailboats,M,15,22,50,
82667d52,,The sailboat disappears behind another sailboat,M,8,23,31,
82667d52,,The sailboat disappears behind another sailboat,M,7,27,33,
82667d52,,The person disappears behind another sailboat,M,3,23,33,
82667d52,,The person disappears behind another sailboat,M,4,26,33,
83924bdb,,A person looks to the left,M,3,2,9,
83924bdb,,The horse comes up from behind and runs beside another horse,M,1,1,60,
83924bdb,,The person on horse comes up from behind and rides beside another person,M,2,1,60,
83924bdb,,The horse comes from the left side to the right side of another horse,M,1,1,60,
83924bdb,,The person on horse rides from the left side to the right side of another person,M,2,2,60,
83924bdb,,A person looks towards the camera,M,3,10,65,
84559bc3,,The elephant walks behind the trees,M,4,5,25,
84559bc3,,The elephant walks from behind the trees to the left,M,4,39,51,
84559bc3,,The elephant walks back and forth from the left to the right,M,4,5,100,
84559bc3,,The elephant walks up from behind to in front of another elephant,M,2,3,28,
84559bc3,,The elephant pushes another elephant,M,2,31,37,
84559bc3,,The elephant swims from the right to the left side of the pool,M,3,28,77,
84559bc3,,The elephant walks into the pool,M,1,61,85,
84559bc3,,The elephant walks into the pool,M,2,63,85,
831498e4,,The boat stops as it reaches near the dock,M,6,17,72,
831498e4,,The person on the boat stands up from a seated position,M,5,43,49,
831498e4,,The person walks inside the boat,M,12,23,28,
831498e4,,The person walks inside the boat,M,9,31,36,
831498e4,,The person walks inside the boat,M,10,37,53,
831498e4,,The person walks inside the boat,M,16,46,51,
831498e4,,The person walks inside the boat,M,15,58,64,
831498e4,,The person walks inside the boat,M,18,61,66,
831498e4,,The speedboat starts moving backwards,M,8,16,59,
831498e4,,The person stands with one feet on the boat and the other on the dock,M,10,39,46,
8248698e,,The cat makes a tiny hop,M,1,11,13,
8248698e,,The cat hops on the rabbit,M,1,18,22,
8248698e,,The cat hops on the rabbit,M,1,27,31,
8248698e,,The cat jumps on another cat,M,1,37,42,
8248698e,,The cat jumps away from under another cat,M,9,47,52,
8248698e,,The cat turns around and looks at the rabbit,M,1,3,9,
8248698e,,The rabbit runs away from the camera,M,3,13,22,
8248698e,,The rabbit sits down and remains still,M,3,24,30,
8248698e,,The rabbit walks slightly to the right,M,3,33,37,
8248698e,,The rabbit jumps and disappears from the frame to the left side of the camera,M,6,6,8,
8248698e,,The rabbit gets underneath a cat,M,5,20,37,
8248698e,,The rabbit hops onto rocks,M,8,17,27,
8248698e,,The rabbit remains seated on a rock,M,8,38,53,
8957514f,,The cats walks over another cat,M,2,10,28,
8957514f,,The cat gets away from underneath another cat and sits up,M,1,30,36,
8957514f,,The cat jumps on the sofa,M,3,36,39,
8957514f,,The cat turns around and looks down at other cats,M,3,41,87,
8957514f,,The cat lays down and remains still,M,2,43,60,
8957514f,,The cats sits up,M,2,69,81,
8957514f,,The cat walks away with the doll on its mouth,M,1,63,96,
9519832a,,The rabbit walks to the right,M,3,1,17,
9519832a,,The rabbit sits down and eats,M,3,20,25,
9519832a,,The rabbit looks to the left,M,3,27,34,
9519832a,,The rabbit turns to the left,M,3,34,39,
9519832a,,The rabbit walks towards the camera,M,2,21,38,
9606508b,,The bear walks towards the wall,M,1,1,38,
9606508b,,The bear stands in front of the wall,M,1,39,57,
9606508b,,The bear jumps on the wall,M,1,59,67,
9606508b,,The bear cub turns around and walks towards the wall,M,4,40,53,
86571569,,The rabbit gets inside the hole,M,1,28,43,
86571569,,The rabbit comes of the hole,M,3,4,11,
86571569,,The rabbit turns towards the direction of the hole,M,2,19,23,
86571569,,The rabbit walks towards the hole,M,5,53,66,
