Video,Query ID,Language Query,Type,IDs,Start,End,Revision
MOT20-02,4,Person in the open area is moving towards the left.,M,176,1,2712,
MOT20-01,5,Person in the open space is heading to the left.,M,1,1,338,
MOT20-01,5,Person in the open space is heading to the left.,M,2,1,351,
MOT20-01,5,Person in the open space is heading to the left.,M,3,1,367,
MOT20-02,5,Person in the open space is heading to the left.,M,9,1412,1738,
MOT20-02,5,Person in the open space is heading to the left.,M,10,1371,1755,
MOT20-02,5,Person in the open space is heading to the left.,M,82,1,2133,
MOT20-02,5,Person in the open space is heading to the left.,M,176,1,2712,
MOT20-01,6,Person stops drinking Drink before going to the left side,M,3,1,283,
MOT20-01,7,Person halts drinking while moving to the left.,M,3,1,283,
MOT20-01,8,Person pause drinking before heading towards the left,M,3,1,283,
MOT20-01,9,Person walking in the open space is going to the right side,M,16,1,184,
MOT20-01,9,Person walking in the open space is going to the right side,M,24,1,281,
MOT20-01,9,Person walking in the open space is going to the right side,M,26,1,289,
MOT20-01,9,Person walking in the open space is going to the right side,M,27,1,281,
MOT20-01,9,Person walking in the open space is going to the right side,M,28,1,344,
MOT20-01,9,Person walking in the open space is going to the right side,M,29,1,332,
MOT20-01,9,Person walking in the open space is going to the right side,M,30,1,352,
MOT20-01,9,Person walking in the open space is going to the right side,M,4,1,42,
MOT20-01,9,Person walking in the open space is going to the right side,M,13,1,163,
MOT20-01,9,Person walking in the open space is going to the right side,M,31,1,262,
MOT20-01,9,Person walking in the open space is going to the right side,M,32,1,249,
MOT20-01,9,Person walking in the open space is going to the right side,M,33,1,219,
MOT20-01,9,Person walking in the open space is going to the right side,M,35,1,331,
MOT20-01,9,Person walking in the open space is going to the right side,M,36,1,239,
MOT20-01,9,Person walking in the open space is going to the right side,M,37,1,207,
MOT20-02,9,Person walking in the open space is going to the right side,M,210,1,82,
MOT20-02,9,Person walking in the open space is going to the right side,M,209,1,192,
MOT20-02,9,Person walking in the open space is going to the right side,M,204,1,343,
MOT20-02,9,Person walking in the open space is going to the right side,M,213,1,48,
MOT20-02,9,Person walking in the open space is going to the right side,M,214,1,61,
MOT20-02,9,Person walking in the open space is going to the right side,M,215,1,146,
MOT20-02,9,Person walking in the open space is going to the right side,M,218,1,173,
MOT20-02,9,Person walking in the open space is going to the right side,M,219,1,196,
MOT20-02,9,Person walking in the open space is going to the right side,M,222,1,202,
MOT20-02,9,Person walking in the open space is going to the right side,M,221,1,204,
MOT20-02,9,Person walking in the open space is going to the right side,M,223,1,229,
MOT20-02,9,Person walking in the open space is going to the right side,M,217,1,231,
MOT20-02,9,Person walking in the open space is going to the right side,M,225,1,262,
MOT20-02,9,Person walking in the open space is going to the right side,M,224,1,294,
MOT20-02,9,Person walking in the open space is going to the right side,M,212,1,327,
MOT20-02,9,Person walking in the open space is going to the right side,M,220,1,213,
MOT20-02,9,Person walking in the open space is going to the right side,M,211,1,287,
MOT20-02,9,Person walking in the open space is going to the right side,M,234,1,401,
MOT20-02,9,Person walking in the open space is going to the right side,M,229,1,397,
MOT20-02,9,Person walking in the open space is going to the right side,M,228,1,402,
MOT20-02,9,Person walking in the open space is going to the right side,M,230,1,437,
MOT20-02,9,Person walking in the open space is going to the right side,M,231,1,443,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,16,1,184,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,24,1,281,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,26,1,289,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,27,1,281,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,28,1,344,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,29,1,332,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,30,1,352,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,4,1,42,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,13,1,163,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,31,1,262,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,32,1,249,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,33,1,219,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,35,1,331,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,36,1,239,
MOT20-01,10,Person walking in an open area is heading in the direction to the right.,M,37,1,207,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,210,1,82,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,209,1,192,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,204,1,343,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,213,1,48,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,214,1,61,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,215,1,146,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,218,1,173,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,219,1,196,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,222,1,202,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,221,1,204,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,223,1,229,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,217,1,231,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,225,1,262,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,224,1,294,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,212,1,327,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,220,1,213,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,211,1,287,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,234,1,401,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,229,1,397,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,228,1,402,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,230,1,437,
MOT20-02,10,Person walking in an open area is heading in the direction to the right.,M,231,1,443,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,16,1,184,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,24,1,281,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,26,1,289,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,27,1,281,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,28,1,344,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,29,1,332,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,30,1,352,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,4,1,42,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,13,1,163,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,31,1,262,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,32,1,249,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,33,1,219,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,35,1,331,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,36,1,239,
MOT20-01,11,Person walking in the open area is moving towards the right.,M,37,1,207,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,210,1,82,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,209,1,192,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,204,1,343,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,213,1,48,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,214,1,61,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,215,1,146,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,218,1,173,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,219,1,196,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,222,1,202,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,221,1,204,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,223,1,229,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,217,1,231,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,225,1,262,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,224,1,294,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,212,1,327,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,220,1,213,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,211,1,287,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,234,1,401,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,229,1,397,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,228,1,402,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,230,1,437,
MOT20-02,11,Person walking in the open area is moving towards the right.,M,231,1,443,
MOT20-01,12,Person in the open area is moving towards the right.,M,16,1,184,
MOT20-01,12,Person in the open area is moving towards the right.,M,24,1,281,
MOT20-01,12,Person in the open area is moving towards the right.,M,26,1,289,
MOT20-01,12,Person in the open area is moving towards the right.,M,27,1,281,
MOT20-01,12,Person in the open area is moving towards the right.,M,28,1,344,
MOT20-01,12,Person in the open area is moving towards the right.,M,29,1,332,
MOT20-01,12,Person in the open area is moving towards the right.,M,30,1,352,
MOT20-01,12,Person in the open area is moving towards the right.,M,4,1,42,
MOT20-01,12,Person in the open area is moving towards the right.,M,13,1,163,
MOT20-01,12,Person in the open area is moving towards the right.,M,31,1,262,
MOT20-01,12,Person in the open area is moving towards the right.,M,32,1,249,
MOT20-01,12,Person in the open area is moving towards the right.,M,33,1,219,
MOT20-01,12,Person in the open area is moving towards the right.,M,35,1,331,
MOT20-01,12,Person in the open area is moving towards the right.,M,36,1,239,
MOT20-01,12,Person in the open area is moving towards the right.,M,37,1,207,
MOT20-02,12,Person in the open area is moving towards the right.,M,210,1,82,
MOT20-02,12,Person in the open area is moving towards the right.,M,209,1,192,
MOT20-02,12,Person in the open area is moving towards the right.,M,204,1,343,
MOT20-02,12,Person in the open area is moving towards the right.,M,213,1,48,
MOT20-02,12,Person in the open area is moving towards the right.,M,214,1,61,
MOT20-02,12,Person in the open area is moving towards the right.,M,215,1,146,
MOT20-02,12,Person in the open area is moving towards the right.,M,218,1,173,
MOT20-02,12,Person in the open area is moving towards the right.,M,219,1,196,
MOT20-02,12,Person in the open area is moving towards the right.,M,222,1,202,
MOT20-02,12,Person in the open area is moving towards the right.,M,221,1,204,
MOT20-02,12,Person in the open area is moving towards the right.,M,223,1,229,
MOT20-02,12,Person in the open area is moving towards the right.,M,217,1,231,
MOT20-02,12,Person in the open area is moving towards the right.,M,225,1,262,
MOT20-02,12,Person in the open area is moving towards the right.,M,224,1,294,
MOT20-02,12,Person in the open area is moving towards the right.,M,212,1,327,
MOT20-02,12,Person in the open area is moving towards the right.,M,220,1,213,
MOT20-02,12,Person in the open area is moving towards the right.,M,211,1,287,
MOT20-02,12,Person in the open area is moving towards the right.,M,234,1,401,
MOT20-02,12,Person in the open area is moving towards the right.,M,229,1,397,
MOT20-02,12,Person in the open area is moving towards the right.,M,228,1,402,
MOT20-02,12,Person in the open area is moving towards the right.,M,230,1,437,
MOT20-02,12,Person in the open area is moving towards the right.,M,231,1,443,
MOT20-01,13,Person in the open space is heading to the right.,M,16,1,184,
MOT20-01,13,Person in the open space is heading to the right.,M,24,1,281,
MOT20-01,13,Person in the open space is heading to the right.,M,26,1,289,
MOT20-01,13,Person in the open space is heading to the right.,M,27,1,281,
MOT20-01,13,Person in the open space is heading to the right.,M,28,1,344,
MOT20-01,13,Person in the open space is heading to the right.,M,29,1,332,
MOT20-01,13,Person in the open space is heading to the right.,M,30,1,352,
MOT20-01,13,Person in the open space is heading to the right.,M,4,1,42,
MOT20-01,13,Person in the open space is heading to the right.,M,13,1,163,
MOT20-01,13,Person in the open space is heading to the right.,M,31,1,262,
MOT20-01,13,Person in the open space is heading to the right.,M,32,1,249,
MOT20-01,13,Person in the open space is heading to the right.,M,33,1,219,
MOT20-01,13,Person in the open space is heading to the right.,M,35,1,331,
MOT20-01,13,Person in the open space is heading to the right.,M,36,1,239,
MOT20-01,13,Person in the open space is heading to the right.,M,37,1,207,
MOT20-02,13,Person in the open space is heading to the right.,M,210,1,82,
MOT20-02,13,Person in the open space is heading to the right.,M,209,1,192,
MOT20-02,13,Person in the open space is heading to the right.,M,204,1,343,
MOT20-02,13,Person in the open space is heading to the right.,M,213,1,48,
MOT20-02,13,Person in the open space is heading to the right.,M,214,1,61,
MOT20-02,13,Person in the open space is heading to the right.,M,215,1,146,
MOT20-02,13,Person in the open space is heading to the right.,M,218,1,173,
MOT20-02,13,Person in the open space is heading to the right.,M,219,1,196,
MOT20-02,13,Person in the open space is heading to the right.,M,222,1,202,
MOT20-02,13,Person in the open space is heading to the right.,M,221,1,204,
MOT20-02,13,Person in the open space is heading to the right.,M,223,1,229,
MOT20-02,13,Person in the open space is heading to the right.,M,217,1,231,
MOT20-02,13,Person in the open space is heading to the right.,M,225,1,262,
MOT20-02,13,Person in the open space is heading to the right.,M,224,1,294,
MOT20-02,13,Person in the open space is heading to the right.,M,212,1,327,
MOT20-02,13,Person in the open space is heading to the right.,M,220,1,213,
MOT20-02,13,Person in the open space is heading to the right.,M,211,1,287,
MOT20-02,13,Person in the open space is heading to the right.,M,234,1,401,
MOT20-02,13,Person in the open space is heading to the right.,M,229,1,397,
MOT20-02,13,Person in the open space is heading to the right.,M,228,1,402,
MOT20-02,13,Person in the open space is heading to the right.,M,230,1,437,
MOT20-02,13,Person in the open space is heading to the right.,M,231,1,443,
MOT20-01,14,Person walking in the open space is showing to the right side with his left hand,M,5,48,67,
MOT20-01,14,Person walking in the open space is showing to the right side with his left hand,M,13,48,126,
MOT20-01,15,A lady walking with another person is looking right side briefly,M,6,60,86,
MOT20-01,16,Person coming from the right side stops walking briefly in the open area,M,7,203,388,
MOT20-01,16,Person coming from the right side stops walking briefly in the open area,M,8,203,388,
MOT20-01,16,Person coming from the right side stops walking briefly in the open area,M,12,93,388,
MOT20-01,16,Person coming from the right side stops walking briefly in the open area,M,45,291,390,
MOT20-01,16,Person coming from the right side stops walking briefly in the open area,M,46,291,390,
MOT20-02,16,Person coming from the right side stops walking briefly in the open area,M,177,513,717,
MOT20-02,16,Person coming from the right side stops walking briefly in the open area,M,177,998,2191,
MOT20-01,17,Person is talking with the security guard in the open space,M,7,226,387,
MOT20-01,17,Person is talking with the security guard in the open space,M,8,226,387,
MOT20-01,17,Person is talking with the security guard in the open space,M,12,226,387,
MOT20-02,17,Person is talking with the security guard in the open space,M,58,1508,1659,
MOT20-02,17,Person is talking with the security guard in the open space,M,59,1508,1659,
MOT20-01,18,Person is walking towards the camera after standing briefly,M,7,388,429,
MOT20-01,18,Person is walking towards the camera after standing briefly,M,8,388,429,
MOT20-01,18,Person is walking towards the camera after standing briefly,M,12,388,429,
MOT20-01,19,Person coming from the right side is standing briefly in the open area,M,7,226,387,
MOT20-01,19,Person coming from the right side is standing briefly in the open area,M,8,226,387,
MOT20-01,19,Person coming from the right side is standing briefly in the open area,M,12,226,387,
MOT20-01,19,Person coming from the right side is standing briefly in the open area,M,45,291,390,
MOT20-01,19,Person coming from the right side is standing briefly in the open area,M,46,291,390,
MOT20-02,19,Person coming from the right side is standing briefly in the open area,M,177,513,717,
MOT20-02,19,Person coming from the right side is standing briefly in the open area,M,177,998,2191,
MOT20-01,20,Person in the open space is giving information to the other persons,M,9,226,387,
MOT20-02,20,Person in the open space is giving information to the other persons,M,175,1507,1785,
MOT20-02,20,Person in the open space is giving information to the other persons,M,175,2072,2249,
MOT20-01,21,Person is pointing to right side with left hand while walking,M,5,48,67,
MOT20-01,21,Person is pointing to right side with left hand while walking,M,13,48,115,
MOT20-01,22,Person is using left hand to indicate towards right side while walking,M,5,48,67,
MOT20-01,22,Person is using left hand to indicate towards right side while walking,M,13,48,115,
MOT20-01,23,Person is using left hand to point towards right side while walking,M,5,48,67,
MOT20-01,23,Person is using left hand to point towards right side while walking,M,13,48,115,
MOT20-01,24,Person is showing towards the camera with right hand while walking,M,15,24,62,
MOT20-02,24,Person is showing towards the camera with right hand while walking,M,12,1099,1195,
MOT20-02,24,Person is showing towards the camera with right hand while walking,M,32,1713,1790,
MOT20-02,24,Person is showing towards the camera with right hand while walking,M,71,1655,1665,
MOT20-02,24,Person is showing towards the camera with right hand while walking,M,71,1701,1747,
MOT20-01,25,Person is pointing to the camera with right hand while walking,M,15,24,62,
MOT20-02,25,Person is pointing to the camera with right hand while walking,M,12,1099,1195,
MOT20-02,25,Person is pointing to the camera with right hand while walking,M,32,1713,1790,
MOT20-02,25,Person is pointing to the camera with right hand while walking,M,71,1655,1665,
MOT20-02,25,Person is pointing to the camera with right hand while walking,M,71,1701,1747,
MOT20-01,26,Person is using right hand to indicate towards camera while walking,M,15,24,62,
MOT20-02,26,Person is using right hand to indicate towards camera while walking,M,12,1099,1195,
MOT20-02,26,Person is using right hand to indicate towards camera while walking,M,32,1713,1790,
MOT20-02,26,Person is using right hand to indicate towards camera while walking,M,71,1655,1665,
MOT20-02,26,Person is using right hand to indicate towards camera while walking,M,71,1701,1747,
MOT20-01,27,Person is using right hand to point towards the camera while walking,M,15,24,62,
MOT20-02,27,Person is using right hand to point towards the camera while walking,M,12,1099,1195,
MOT20-02,27,Person is using right hand to point towards the camera while walking,M,32,1713,1790,
MOT20-02,27,Person is using right hand to point towards the camera while walking,M,71,1655,1665,
MOT20-02,27,Person is using right hand to point towards the camera while walking,M,71,1701,1747,
MOT20-01,28,Person is pointing to the camera with right hand while walking towards the camera,M,15,24,62,
MOT20-02,28,Person is pointing to the camera with right hand while walking towards the camera,M,32,1713,1790,
MOT20-02,28,Person is pointing to the camera with right hand while walking towards the camera,M,71,1655,1665,
MOT20-02,28,Person is pointing to the camera with right hand while walking towards the camera,M,71,1701,1747,
MOT20-02,29,Person walking in the open area is adjusting his pant,M,58,1160,1475,
MOT20-01,29,Person walking in the open area is adjusting the pant,M,15,231,270,
MOT20-01,29,Person walking in the open area is adjusting the pant,M,27,108,191,
MOT20-02,29,Person walking in the open area is adjusting the pant,M,3,888,932,
MOT20-01,30,A person in the open space is arranging the pant.,M,15,231,270,
MOT20-01,30,A person in the open space is arranging the pant.,M,27,108,191,
MOT20-02,30,A person in the open space is arranging the pant.,M,3,888,932,
MOT20-01,31,A person walking in the open space is fixing the pant.,M,15,231,270,
MOT20-01,31,A person walking in the open space is fixing the pant.,M,27,108,191,
MOT20-02,31,A person walking in the open space is fixing the pant.,M,3,888,932,
MOT20-01,32,A person in the open space is fixing the pant.,M,15,231,270,
MOT20-01,32,A person in the open space is fixing the pant.,M,27,108,191,
MOT20-02,32,A person in the open space is fixing the pant.,M,3,888,932,
MOT20-01,33,Person in the open area is not walking,M,11,1,429,
MOT20-01,33,Person in the open area is not walking,M,84,1,429,
MOT20-01,33,Person in the open area is not walking,M,85,1,429,
MOT20-01,33,Person in the open area is not walking,M,11,1,429,
MOT20-01,33,Person in the open area is not walking,M,75,1,429,
MOT20-02,33,Person in the open area is not walking,M,162,1,2782,
MOT20-02,33,Person in the open area is not walking,M,178,1,2782,
MOT20-02,33,Person in the open area is not walking,M,182,1,2782,
MOT20-01,34,Person in the open area is stationary and not walking.,M,11,1,429,
MOT20-01,34,Person in the open area is stationary and not walking.,M,84,1,429,
MOT20-01,34,Person in the open area is stationary and not walking.,M,85,1,429,
MOT20-01,34,Person in the open area is stationary and not walking.,M,11,1,429,
MOT20-01,34,Person in the open area is stationary and not walking.,M,75,1,429,
MOT20-02,34,Person in the open area is stationary and not walking.,M,162,1,2782,
MOT20-02,34,Person in the open area is stationary and not walking.,M,171,1,2782,
MOT20-02,34,Person in the open area is stationary and not walking.,M,182,1,2782,
MOT20-01,35,Person standing in the open area is adjusting the hair,M,25,36,102,
MOT20-01,36,A person in the open space is arranging the hair.,M,25,36,102,
MOT20-02,36,A person in the open space is arranging the hair.,M,4,865,992,
MOT20-01,36,A person in the open space is arranging the hair.,M,63,388,415,
MOT20-01,36,A person in the open space is arranging the hair.,M,64,289,302,
MOT20-02,36,A person in the open space is arranging the hair.,M,4,1082,1101,
MOT20-02,36,A person in the open space is arranging the hair.,M,42,1418,1494,
MOT20-02,36,A person in the open space is arranging the hair.,M,64,1677,1692,
MOT20-01,37,A person is standing in an open space and fixing the hair.,M,25,36,102,
MOT20-01,38,A person in an open space is fixing the hair.,M,25,36,102,
MOT20-02,38,A person in an open space is fixing the hair.,M,4,865,992,
MOT20-01,38,A person in an open space is fixing the hair.,M,63,388,415,
MOT20-01,38,A person in an open space is fixing the hair.,M,64,289,302,
MOT20-02,38,A person in an open space is fixing the hair.,M,4,1082,1101,
MOT20-02,38,A person in an open space is fixing the hair.,M,42,1418,1494,
MOT20-02,38,A person in an open space is fixing the hair.,M,64,1677,1692,
MOT20-01,39,Person is shaking with another person while walking towards the right side,M,29,274,325,
MOT20-01,39,Person is shaking with another person while walking towards the right side,M,35,274,325,
MOT20-01,40,A person is keeping his left hand in his pant pocket while walking,M,18,130,429,
MOT20-01,41,A child is briefly bending her head while walking,M,17,276,313,
MOT20-01,42,Person is looking left side briefly while walking,M,22,113,173,
MOT20-01,42,Person is looking left side briefly while walking,M,22,193,218,
MOT20-01,42,Person is looking left side briefly while walking,M,33,161,175,
MOT20-01,42,Person is looking left side briefly while walking,M,36,1,15,
MOT20-02,42,Person is looking left side briefly while walking,M,17,1249,1302,
MOT20-02,42,Person is looking left side briefly while walking,M,22,113,1251,
MOT20-02,42,Person is looking left side briefly while walking,M,23,1325,1373,
MOT20-02,42,Person is looking left side briefly while walking,M,26,1454,1596,
MOT20-02,42,Person is looking left side briefly while walking,M,26,1696,1834,
MOT20-02,42,Person is looking left side briefly while walking,M,27,1416,1460,
MOT20-02,42,Person is looking left side briefly while walking,M,27,1485,1544,
MOT20-02,42,Person is looking left side briefly while walking,M,32,1389,1423,
MOT20-02,42,Person is looking left side briefly while walking,M,32,1912,2012,
MOT20-02,42,Person is looking left side briefly while walking,M,32,2047,2087,
MOT20-02,42,Person is looking left side briefly while walking,M,39,1523,1557,
MOT20-02,42,Person is looking left side briefly while walking,M,39,1701,1744,
MOT20-02,42,Person is looking left side briefly while walking,M,43,1498,1540,
MOT20-02,42,Person is looking left side briefly while walking,M,60,1724,1755,
MOT20-02,42,Person is looking left side briefly while walking,M,60,1861,1872,
MOT20-02,42,Person is looking left side briefly while walking,M,60,2043,2064,
MOT20-02,42,Person is looking left side briefly while walking,M,71,2171,2237,
MOT20-02,42,Person is looking left side briefly while walking,M,71,2106,2131,
MOT20-01,43,Person is touching his head while walking,M,22,367,409,
MOT20-01,44,A person is touching her face while walking and talking with another person,M,23,210,228,
MOT20-01,44,A person is touching her face while walking and talking with another person,M,23,327,335,
MOT20-01,45,Person who is going from the left side to the right side,M,20,1,429,
MOT20-01,45,Person who is going from the left side to the right side,M,21,1,429,
MOT20-01,45,Person who is going from the left side to the right side,M,22,1,429,
MOT20-01,45,Person who is going from the left side to the right side,M,23,1,429,
MOT20-02,45,Person who is going from the left side to the right side,M,15,418,1454,
MOT20-02,45,Person who is going from the left side to the right side,M,12,959,1473,
MOT20-02,45,Person who is going from the left side to the right side,M,13,969,1479,
MOT20-02,45,Person who is going from the left side to the right side,M,14,978,1494,
MOT20-02,45,Person who is going from the left side to the right side,M,11,731,1544,
MOT20-02,45,Person who is going from the left side to the right side,M,34,1281,1816,
MOT20-02,45,Person who is going from the left side to the right side,M,31,1268,1820,
MOT20-02,45,Person who is going from the left side to the right side,M,38,1325,1834,
MOT20-02,45,Person who is going from the left side to the right side,M,37,1331,1836,
MOT20-02,45,Person who is going from the left side to the right side,M,43,1404,1880,
MOT20-02,45,Person who is going from the left side to the right side,M,35,1331,1928,
MOT20-02,45,Person who is going from the left side to the right side,M,45,1427,1945,
MOT20-02,45,Person who is going from the left side to the right side,M,42,1410,1953,
MOT20-02,45,Person who is going from the left side to the right side,M,44,1416,1995,
MOT20-02,45,Person who is going from the left side to the right side,M,39,1392,2008,
MOT20-02,45,Person who is going from the left side to the right side,M,55,427,1765,
MOT20-02,45,Person who is going from the left side to the right side,M,46,1442,1885,
MOT20-02,45,Person who is going from the left side to the right side,M,56,1358,1941,
MOT20-02,45,Person who is going from the left side to the right side,M,48,1416,1939,
MOT20-02,45,Person who is going from the left side to the right side,M,52,1732,1966,
MOT20-02,45,Person who is going from the left side to the right side,M,51,1761,2074,
MOT20-02,45,Person who is going from the left side to the right side,M,50,1644,2072,
MOT20-02,45,Person who is going from the left side to the right side,M,53,1682,2083,
MOT20-02,45,Person who is going from the left side to the right side,M,49,1625,2097,
MOT20-02,45,Person who is going from the left side to the right side,M,74,1688,2129,
MOT20-02,45,Person who is going from the left side to the right side,M,75,1621,2166,
MOT20-02,45,Person who is going from the left side to the right side,M,76,1556,2166,
MOT20-02,45,Person who is going from the left side to the right side,M,79,1606,2198,
MOT20-02,45,Person who is going from the left side to the right side,M,77,1648,2195,
MOT20-02,45,Person who is going from the left side to the right side,M,78,1665,2196,
MOT20-02,45,Person who is going from the left side to the right side,M,80,1732,2221,
MOT20-02,45,Person who is going from the left side to the right side,M,81,1732,2237,
MOT20-02,45,Person who is going from the left side to the right side,M,87,1051,2265,
MOT20-02,45,Person who is going from the left side to the right side,M,94,1707,2223,
MOT20-02,45,Person who is going from the left side to the right side,M,96,1736,2242,
MOT20-02,45,Person who is going from the left side to the right side,M,97,1807,2306,
MOT20-02,45,Person who is going from the left side to the right side,M,104,1815,2409,
MOT20-02,45,Person who is going from the left side to the right side,M,102,1997,2467,
MOT20-02,45,Person who is going from the left side to the right side,M,101,1905,2593,
MOT20-02,45,Person who is going from the left side to the right side,M,107,1487,2240,
MOT20-02,45,Person who is going from the left side to the right side,M,112,1780,2338,
MOT20-02,45,Person who is going from the left side to the right side,M,113,1761,2366,
MOT20-02,45,Person who is going from the left side to the right side,M,115,1790,2390,
MOT20-02,45,Person who is going from the left side to the right side,M,108,1928,2421,
